Datetime,Close,High,Low,Open,Volume,Returns,Log_Returns,SMA_10,SMA_20,SMA_50,EMA_12,EMA_26,MACD,MACD_Signal,MACD_Histogram,RSI,BB_Middle,BB_Upper,BB_Lower,BB_Width,BB_Position,Volatility_10,Volatility_20,Price_Change,Price_Change_Pct,HL_Spread,HL_Spread_Pct,Hour,DayOfWeek,Month,Quarter,Is_Trading_Hours,Is_Market_Open,Is_Premarket,Is_Aftermarket,Is_Extended_Hours
2024-06-21 14:00:00+00:00,182.2100067138672,183.9499969482422,181.5,181.74000549316406,9540191,0.0025585936844085833,0.002555326056089641,181.22550018310545,181.72160973754882,,181.45817452115023,181.7071480854619,-0.24897356431168305,-0.36847481283460576,0.11950124852292271,67.70938200874564,181.72160973754882,184.20905842661918,179.23416104847846,4.974897378140724,0.5981722715456091,0.002930569281978679,0.0045586218888084475,0.470001220703125,0.2586118666761037,2.4499969482421875,1.3446006574652791,14,4,6,2,1,1,0,0,0
2024-06-21 15:00:00+00:00,182.6365966796875,182.8699951171875,181.71229553222656,182.2100067138672,4445180,0.0023411994407651626,0.0023384631033965793,181.35915985107422,181.61293957153322,,181.64282085398077,181.78888617147564,-0.14606531749487317,-0.3237818572511918,0.17771653975631863,64.37775288529045,181.61293957153322,183.6880054423986,179.53787370066783,4.150131741730775,0.7466565333001635,0.002916891984639244,0.0045339302852372265,0.4265899658203125,0.23411994407651085,1.1576995849609375,0.6338814925419023,15,4,6,2,1,1,0,0,0
2024-06-21 16:00:00+00:00,181.47000122070312,183.08999633789062,181.3300018310547,182.6300048828125,4092050,-0.006387522983854033,-0.006408010498366287,181.35115997314455,181.44290463256837,,181.61581861445572,181.76122621513636,-0.14540760068064174,-0.287971719060009,0.14256411837936728,53.040791570243385,181.44290463256837,182.8408134469669,180.04499581816984,2.7958176287970673,0.5096918296299648,0.0036653720562289027,0.004708337839211026,-1.160003662109375,-0.6351659809973231,1.7599945068359375,0.9698542431238752,16,4,6,2,1,0,0,1,1
2024-06-21 17:00:00+00:00,182.00360107421875,182.1199951171875,181.0399932861328,181.43499755859375,4071579,0.002940430098232305,0.0029361154894521186,181.4015200805664,181.41992489624025,,181.6762627567262,181.7819867723554,-0.10572401562919254,-0.2514116824432656,0.14568766681407308,53.791852755751954,181.41992489624025,182.7611759280942,180.0786738643863,2.6825020637078865,0.7175864786369326,0.0037814637748345447,0.0038168790208989016,0.568603515625,0.31339241231084514,1.0800018310546875,0.5933958584776993,17,4,6,2,0,0,0,1,1
2024-06-21 18:00:00+00:00,181.94500732421875,182.08999633789062,181.27000427246094,181.99000549316406,3733610,-0.0003219373114277113,-0.00032198914436889294,181.54602081298827,181.37718045043945,,181.71806765269957,181.79579040116153,-0.0777227484619516,-0.21658970126272423,0.13886695280077263,53.01003989234788,181.37718045043945,182.58067378347369,180.17368711740522,2.4069866660684625,0.7359077770492084,0.0032112540639056384,0.0037888332723164885,-0.0449981689453125,-0.024725626455900474,0.8199920654296875,0.45068126764725913,18,4,6,2,0,0,0,1,1
2024-06-21 19:00:00+00:00,183.0399932861328,183.6199951171875,181.5749969482422,181.9600067138672,6256377,0.006018224836270569,0.006000187652886157,181.76702014160156,181.44292980957033,,181.9233503890041,181.9000372137419,0.02331317526218868,-0.16851613816306638,0.19182931342525505,62.03252998145131,181.44292980957033,182.85247518157104,180.03338443756962,2.8190907440014144,1.0665172289898026,0.0036087360152619666,0.0037886846630862782,1.079986572265625,0.5935296397102843,2.0449981689453125,1.1172411734896204,19,4,6,2,0,0,0,1,1
2024-06-21 20:00:00+00:00,182.77,183.12,182.3879,183.03,0,-0.001475050786910459,-0.0014761397453001276,181.98402014160155,181.57192968750002,,182.05463753822414,181.9722268345196,0.0824107037045394,-0.11825299133709981,0.20066369504163922,58.41336954514169,181.57192968750002,182.9708657621861,180.17299361281394,2.7978721493721537,0.9282076694493857,0.00362486573847725,0.003211835631290601,-0.2599999999999909,-0.14205321531988796,0.7321000000000026,0.4005580784592672,20,4,6,2,0,0,0,1,1
2024-06-21 21:00:00+00:00,182.9,192.5274,173.5085,182.73,0,0.0007112764676915351,0.0007110236304691299,182.16102014160157,181.6594299926758,,182.185565291972,182.0485339725337,0.13703131943830726,-0.06713284550668083,0.2041641649449881,59.54931986241544,181.6594299926758,183.16230233344706,180.15655765190454,3.0057446815425237,0.9127329959002234,0.003574552768924138,0.003023319916655184,0.17000000000001592,0.09303343731188964,19.018900000000002,10.398523783488246,21,4,6,2,0,0,0,0,0
2024-06-21 22:00:00+00:00,182.83,183.01,182.75,182.91,0,-0.00038272279934381537,-0.00038279605640641244,182.35502014160156,181.74651028442383,,182.28527098055812,182.1122866108037,0.1729843697544311,-0.019061795192126554,0.19204616494655766,68.20208694000338,181.74651028442383,183.31064533893036,180.1823752299173,3.1282701090130445,0.846354271792091,0.003519066510389466,0.003023947965477622,-0.07999999999998408,-0.04373735717018429,0.2599999999999909,0.14220860909040686,22,4,6,2,0,0,0,0,0
2024-06-21 23:00:00+00:00,182.85,182.9,182.73,182.83,0,0.00010939123776165793,0.00010938525497651395,182.46552062988283,181.81301007080077,,182.37256864406734,182.17202145877917,0.2005471852881726,0.024894826927942332,0.17565235836023027,66.58357096199455,181.81301007080077,183.4480798664242,180.17794027517735,3.2701395912468456,0.8171087656242335,0.003281285173579522,0.00299130793119215,0.01999999999998181,0.010939123776175579,0.17000000000001592,0.09297238173367019,23,4,6,2,0,0,0,0,0
2024-06-24 08:00:00+00:00,182.97,183.0,182.8,182.85,0,0.0006562756357670896,0.0006560603810844925,182.5415199584961,181.8835100708008,,182.46485351648812,182.2361934392665,0.22866007722163317,0.06567372368315468,0.1629863535384785,69.81484410959946,181.8835100708008,183.592563947196,180.17445619440562,3.4181077527903767,0.81786298378459,0.003210213818237511,0.0029917533505166767,0.12000000000000455,0.06562756357670471,0.19999999999998863,0.10930753675465303,8,0,6,2,0,0,1,0,1
